Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Organic Cannellini Beans in Water,Biona Organic,A,Légumineuses,92.0,0.7,0.5,0.1,0.03,7.4,7.3,75.0
Vivien Paille Lentilles vertes le paquet de 500 g,Vivien Paille,A,Légumineuses,328.0,1.1,1.8,0.2,0.0,23.0,25.0,100.0
Beluga Lentil,Merchant Gourmet,A,Légumineuses,142.0,0.6,1.7,0.3,0.02,4.0,11.0,99.0
Haricots verts extra-fins 1/2,Bonduelle,A,Légumineuses,20.0,0.5,0.1,0.1,0.58,3.5,1.6,92.9829160160924
Bénénuts Cacahuètes grillées & non salées,Benenuts,A,Légumineuses,637.0,4.9,54.0,9.0,0.0,7.8,27.0,75.0
Lentilles corail,"Carrefour BIO, Carrefour",A,Légumineuses,321.0,2.2,3.0,0.4,0.03,19.0,25.0,100.0
Red kidney beans,"Asda, Freshona, Lidl",A,Légumineuses,108.0,0.6,0.6,0.1,0.01,7.0,6.9,80.0
Petits Pois et Carottes 4/4,Cassegrain,A,Légumineuses,59.0,3.8,0.7,0.0,0.77,4.2,3.6,95.4170883330924
Chickpeas in water,ASDA,A,Légumineuses,118.0,0.6,2.4,0.2,0.0,5.7,6.7,80.0
arachides grillées,alesto,A,Légumineuses,623.0,4.6,52.3,10.5,0.01,8.6,26.2,100.0
Malt Wheats,Tesco,A,Céréales,362.0,10.0,1.25,0.25,0.269,11.0,11.0,0.0
Flageolets extra fins d'aucy 530g,D'aucy,A,Légumineuses,87.0,0.4,0.6,0.1,0.48,5.9,5.4,85.3999541599817
Scott's Porage Oats Original 1000g,Scott,A,Céréales,374.0,1.0,8.0,0.6,0.0,9.0,11.0,0.0
Cacahuete tostado 0% sal añadida,Hacendado,A,Légumineuses,618.0,6.2,50.4,6.0,0.0,8.2,24.0,100.0
"ültje Erdnüsse geröstet & ungesalzen 180g 2,49€ 13,83€ 1kg",ültje,A,Légumineuses,626.0,5.3,52.0,7.9,0.05,8.3,25.0,75.0
Red Kidney Beans,Aldi,A,Légumineuses,116.0,0.0,0.6,0.0,0.2,9.0,9.1,56.40625
Chickpeas in water,"Essential Waitrose,Waitrose",A,Légumineuses,118.0,0.6,2.4,0.3,0.04,6.0,6.6,80.0
Lenteja Pardina,Hacendado,A,Légumineuses,320.0,1.3,1.2,0.2,0.05,9.6,24.5,100.0
Black beans in water,"Freshona, Lidl",A,Légumineuses,106.0,0.5,0.8,0.1,0.02,7.7,7.1,80.0
"Low Sugar, Naturally Gut-Loving Granola",Bio & Me,A,Céréales,447.0,7.9,17.9,3.7,0.06,17.0,13.2,18.5
,Chira,A,Légumineuses,74.0,2.6,0.7,0.1,0.72,7.3,5.5,85.0079057064827
Haricots verts extra-fins coupés,"Jardin bio, LEA Nature",A,Légumineuses,34.0,0.7,0.0,0.0,0.55,4.2,2.1,85.5344112176277
Haricots verts extra-fins 4/4,Bonduelle,A,Légumineuses,20.0,0.5,0.1,0.1,0.58,3.5,1.6,92.9829160160924
Oat flakes,Carrefour,A,Céréales,372.0,0.7,7.0,1.3,0.0,10.0,14.0,0.0
